name,following,followers
Aaron Gordon,1272,1000000
Bam Adebayo,841,1000000
Jordan Goodwin,1039,45000
Josh Green,765,181000
LeBron James,468,157000000
Precious Achiuwa,521,186000
Stephen Curry,1267,58000000
Steven Adams,617,659000
Jalen Green,140,2000000
Javonte Green,1279,91000
Jeff Green,555,2237
Kam Jones,1052,25000
Spencer Jones,1098,78000
Tre Jones,861,278000
Tyus Jones,725,396000
David Jones Garcia,778,102000
Derrick Jones Jr.,1391,384000
DeAndre Jordan,373,2000000
Nikola Jović,547,248000
Ryan Kalkbrenner,391,25000
Yuki Kawamura,301,1000000
Trevor Keels,833,42000
Miles Kelly,846,24000
Luke Kennard,549,208000
Davion Mitchell,2873,216000
Donovan Mitchell,1650,4000000
Evan Mobley,690,259000
Jonathan Mogbo,406,19000
Malik Monk,542,539000
Moses Moody,1126,246000
Wendell Moore Jr.,599,73000
Alex Morales,1097,17000
Ja Morant,182,9000000
Trey Murphy III,1396,113000
Dejounte Murray,326,1000000
Jamal Murray,905,1000000
Keegan Murray,400,97000
Kris Murray,600,44000
Collin Murray-Boyles,397,56000
Svi Mykhailiuk,499,113000
Rayan Rupert,477,27000
D'Angelo Russell,877,4000000
Domantas Sabonis,683,367000
Tidjane Salaün,146,34000
Kobe Sanders,1166,3094
Gui Santos,1007,680000
Ben Saraf,967,37000
Alex Sarr,527,139000
Marcus Sasser,475,41000
Baylor Scheierman,553,65000
Dennis Schröder,267,5000000
Alperen Sengun,302,1000000
Brice Sensabaugh,592,53000
Collin Sexton,172,619000
Landry Shamet,1289,120000
Terrence Shannon Jr.,648,109000
Day'Ron Sharpe,869,78000
Shaedon Sharpe,131,193000
Jamal Shead,942,53000
Ben Sheppard,1450,636000
Reed Sheppard,579,200000
Jordan Walsh,231,164000
Ja'Kobe Walter,644,54000
Kel'el Ware,354,111000
P.J. Washington,757,862000
TyTy Washington Jr.,1123,79000
Lindy Waters III,469,69000
Trendon Watford,1156,77000
Jamir Watkins,832,21000
Peyton Watson,386,125000
Jaylen Wells,932,68000
Victor Wembanyama,544,5000000
Blake Wesley,1621,55000
Russell Westbrook,2567,22000000
Coby White,3341,400000
Derrick White,876,413000
Cam Whitmore,195,127000
Aaron Wiggins,724,131000
Andrew Wiggins,680,2000000
Alondes Williams,1078,29000
Amari Williams,748,33000
Brandon Williams,449,1000000
Cody Williams,403,59000
Grant Williams,2180,273000
Jalen Williams,541,543000
Jaylin Williams,564,259000
Ochai Agbaji,1048,128000
Santi Aldama,409,81000
Trey Alexander,869,21000
Nickeil Alexander-Walker,712,209000
Grayson Allen,462,365000
Jarrett Allen,439,282000
