Player,Caliber,Instagram Followers,Twitter Followers,Reach (Combined Following),Brand,Dates,Type of Activation,Distribution,Additional Notes,Player Fee
Quinn Cook,Local Hero,979000,179400,1158400,Turner,4/8/20,1 Tweet (Video),Twitter,Shaq Life Promotion,10000
Victor Oladipo,All-Star,1400000,303600,1703600,Turner,4/8/20,1 Tweet (Video),Twitter,Shaq Life Promotion,15000
Kyle Kuzma,Rising Star,4700000,952400,5652400,Turner,4/8/20,1 Tweet (Video),Twitter,Shaq Life Promotion,20000
Blake Griffin,All-Star,3700000,4400000,8100000,Turner,4/6/20,40 Minute IG Live; 1 IG Story; 1 Tweet,Instagram,The Last OG Watch Party,90000
Marvin Bagley,Rising Star,584000,100000,684000,Turner,4/6/20,40 Minute IG Live; 1 IG Story; 1 Tweet,Instagram,The Last OG Watch Party,30000
Anfernee Simons,Local Hero,137000,20000,157000,Sprite,1/24/20,1 IG Promotional Post,Instagram,Sprite Appearance,2500
Mo Wagner,Local Hero,186000,62700,248700,Budweiser,12/23/19,1 Tweet,Twitter,Drink Wiser,3500
Willie Cauley Stein,Local Hero,571000,233900,804900,Budweiser,12/23/19,1 Tweet,Twitter,Drink Wiser,3500
Justise Winslow,Local Hero,628000,128200,756200,Budweiser,12/23/19,1 Tweet,Twitter,Drink Wiser,3500
Rudy Gay,Vet,766000,1200000,1966000,Budweiser,12/23/19,1 Tweet,Twitter,Drink Wiser,3500
Chris Boucher,Vet,142000,14300,156300,Budweiser,12/23/19,1 Tweet,Twitter,Drink Wiser,3500
Trey Burke,Vet,360000,168200,528200,Budweiser,12/23/19,1 Tweet,Twitter,Drink Wiser,3500
Kevon Looney,Vet,238000,44600,282600,Budweiser,12/23/19,1 Tweet,Twitter,Drink Wiser,3500
Omari Spellman,Vet,69300,7090,76390,Budweiser,12/23/19,1 Tweet,Twitter,Drink Wiser,3500
Raul Neto,Vet,120000,23800,143800,Budweiser,12/23/19,1 Tweet,Twitter,Drink Wiser,3500
JJ Barea,Vet,401000,285400,686400,Budweiser,12/23/19,1 Tweet,Twitter,Drink Wiser,3500
Javale McGee,Vet,1700000,324300,2024300,Budweiser,12/20/19,1 IG Story,Instagram,Whassup Campaign,10000
Andre Drummond,All-Star,1200000,826300,2026300,Budweiser,12/20/19,1 IG Story,Instagram,Whassup Campaign,25000
Boban Marjanovic,Vet,594000,83500,677500,Budweiser,12/20/19,1 IG Story,Instagram,Whassup Campaign,10000
Danny Green,Vet,1300000,620300,1920300,Budweiser,12/20/19,1 IG Story,Instagram,Whassup Campaign,10000
Ivica Zubac,Local Hero,170000,111100,281100,Budweiser,12/20/19,1 IG Story,Instagram,Whassup Campaign,10000
Danilo Gallinari,Vet,403000,708100,1100000,Budweiser,12/20/19,1 IG Story,Instagram,Whassup Campaign,10000
Mason Plumlee,Vet,,85000,85000,Budweiser,7/10/19,1 Tweet,Twitter,Appearance Promotion,25000
Jaren Jackson,Rookie,201000,89300,290000,Turner,2/13/19,1 IG Promotional Post,Instagram,2K Tourney Promotion,5000
Shaun Livingston,Vet,656000,302300,958300,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Dante Exum,Local Hero,157000,68800,225800,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
TJ Warren,Local Hero,74700,45300,120000,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Malik Beasley,Local Hero,112000,18900,130900,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Wesley Matthews,Vet,189000,258800,447800,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Anthony Toliver,Vet,42300,40800,83100,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Myles Turner,Rising Star,219000,102900,321900,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Kent Bazemore,Local Hero,173000,62000,235000,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Reggie Jackson,Vet,144000,109500,253500,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Channing Frye,Vet,303000,133400,436400,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Rondae Hollis-Jefferson,Local Hero,167000,62000,229000,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Jaylen Brown,Rising Star,1200000,360600,1560000,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
TJ McConnell,Local Hero,128000,54400,182400,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Jeff Green,Vet,309000,160600,469600,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Bismack Biyombo,Vet,128000,54000,182000,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Udonis Haslem,Vet,563000,402000,965000,Amex,,1 Instagram Post,Instagram,Small Business Saturday,13000
Quinn Cook,Local Hero,1000000,183400,1183400,Hulu,7/22/20,1 Instagram Post,Instagram,Hulu Has Live Sports Again,5000
Carsen Edwards,Rising Star,325000,60900,385900,Hulu,7/22/20,1 Instagram Post,Instagram,Hulu Has Live Sports Again,5000
Boban Marjanovic,Vet,649000,84700,733700,Hulu,7/22/20,1 Instagram Post,Instagram,Hulu Has Live Sports Again,5000
JJ Barea,Vet,406000,286000,692000,Hulu,7/22/20,1 Instagram Post,Instagram,Hulu Has Live Sports Again,5000
Danilo Gallinari,Vet,405000,707300,1112300,Hulu,7/22/20,1 Instagram Post,Instagram,Hulu Has Live Sports Again,5000
