name,instagram,reason,url
"A.J. Lawson","ajlawson","not_found",""
"AJ Green","ajgreen_18","not_found",""
"AJ Johnson","theajzone","not_found",""
"A.J. Lawson","ajlawson","blocked","https://socialblade.com/instagram/user/ajlawson"
"AJ Green","ajgreen_18","not_found",""
"AJ Johnson","theajzone","not_found",""
"Aaron Gordon","aarongordon","blocked","https://socialblade.com/instagram/user/aarongordon"
"A.J. Lawson","ajlawson","blocked","https://socialblade.com/instagram/user/ajlawson",""
"AJ Green","ajgreen_18","blocked","https://socialblade.com/instagram/user/ajgreen_18",""
"A.J. Lawson","ajlawson","not_found","https://socialblade.com/instagram/user/ajlawson",""
"AJ Green","ajgreen_18","no_stats","https://socialblade.com/instagram/user/ajgreen_18",""
"AJ Johnson","theajzone","no_stats","https://socialblade.com/instagram/user/theajzone",""
"Aaron Gordon","aarongordon","no_stats","https://socialblade.com/instagram/user/aarongordon",""
"A.J. Lawson","ajlawson","not_found","https://socialblade.com/instagram/user/ajlawson",""
"AJ Green","ajgreen_18","not_found","https://socialblade.com/instagram/user/ajgreen_18",""
"AJ Johnson","theajzone","no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.117)","https://socialblade.com/instagram/user/theajzone",""
"Aaron Gordon","aarongordon","no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.117)","https://socialblade.com/instagram/user/aarongordon",""
"Aaron Holiday","the_4th_holiday","no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.117)","https://socialblade.com/instagram/user/the_4th_holiday",""
"Aaron Nesmith","aaron_nesmith","no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.117)","https://socialblade.com/instagram/user/aaron_nesmith",""
"Aaron Wiggins","a.wigg","no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.117)","https://socialblade.com/instagram/user/a.wigg",""
"Ace Bailey","acebailey","no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.117)","https://socialblade.com/instagram/user/acebailey",""
"Adem Bona","adem_bona","no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.117)","https://socialblade.com/instagram/user/adem_bona",""
"Adou Thiero","adou_thiero","no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.117)","https://socialblade.com/instagram/user/adou_thiero",""
"A.J. Lawson","ajlawson","not_found","https://socialblade.com/instagram/user/ajlawson",""
"A.J. Lawson","ajlawson","not_found","https://socialblade.com/instagram/user/ajlawson",""
"A.J. Lawson","ajlawson","not_found","https://socialblade.com/instagram/user/ajlawson",""
