name,instagram,reason
A.J. Lawson,ajlawson,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
AJ Green,ajgreen_18,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
AJ Johnson,theajzone,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Aaron Gordon,aarongordon,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Aaron Holiday,the_4th_holiday,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Aaron Nesmith,aaron_nesmith,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Aaron Wiggins,a.wigg,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Ace Bailey,acebailey,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Adem Bona,adem_bona,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Adou Thiero,adou_thiero,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Ajay Mitchell,thatboyjay_3,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Al Horford,alhorford,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Alex Antetokounmpo,alex_ante29,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Alex Caruso,acfresh21,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Alex Morales,alex_morales6_,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Alex Sarr,alexsarr,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Alijah Martin,alijahmartin15,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Alondes Williams,butterboy_manman,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Alperen Sengun,alperen.sengun,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Amari Williams,amariwillixms,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Amen Thompson,amen.thompson,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Amir Coffey,coffeyshop_,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Andre Drummond,Drummond,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Andre Jackson Jr.,andrejacksonjr_,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Andrew Nembhard,andrew.nembhard,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Andrew Wiggins,22wiggins,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Anfernee Simons,antsimons,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Anthony Black,anthonyblack,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Anthony Davis,antdavis23,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Anthony Edwards,theanthonyedwards_,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Anthony Gill,anthonygill36,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Antonio Reeves,tonioreeves,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Ariel Hukporti,arielhukporti,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Asa Newell,asanewell,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Ausar Thompson,ausarthompson,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Austin Reaves,austinreaves12,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Ayo Dosunmu,ayodos_11,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Bam Adebayo,bam1of1,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Baylor Scheierman,baylorrr3,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Ben Saraf,ben_saraf2,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Ben Sheppard,benlsheppard,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Bennedict Mathurin,bennedict,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Bilal Coulibaly,bilal.clby,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Bismack Biyombo,bismackbiyombo,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Blake Hinson,blakehinson,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Blake Wesley,theblakewesley,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Bobby Portis,bportistime,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Bobi Klintman,bobiklintman,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Bogdan Bogdanović,bogdanbogdanovic,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Bones Hyland,bizzybones,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Bradley Beal,bradbeal3,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Branden Carlson,branden_carlson35,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Brandin Podziemski,iab_podz,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Brandon Clarke,brandon_clarke23,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Brandon Ingram,1ngram4,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Brandon Miller,brandonmilller,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Brandon Williams,branwilliams,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Brice Sensabaugh,babysensa,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Bronny James,Bronny,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Brook Lopez,brooklopez_,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Brooks Barnhizer,brooksbarnhizer,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Bruce Brown,brucebrown,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Bryce McGowens,bryce.mcgowens,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Bub Carrington,noigbub,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Buddy Boeheim,buddy_boeheim,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Buddy Hield,Buddylove,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
CJ McCollum,3jmccollum,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Cade Cunningham,cadecunn1ngham,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Caleb Houstan,_caleb_houstan,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Caleb Love,caleb,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Caleb Martin,caleb_martin10,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Cam Christie,_cameronchristie_,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Cam Spencer,cam.spncer,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Cam Thomas,popular,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Cam Whitmore,camwhitmore,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
Cameron Johnson,camjohnson23,"no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=145.0.7632.109)"
